course_catalogue
code;title;coordinator;corequisite;prerequisite;corequisiteof;prerequisitecode
PRA2028;Mathematics and Art;Dr. Mariet Hofstee;FALSE;FALSE;;
PRA2029;3D Visualizations and Transformations;Dr. May Lee;FALSE;FALSE;;
PRA2030;Introduction in Mycology;Dr. Aleksander Umanets;FALSE;FALSE;;
PRA2031;Python Programming Language;Dr. Ruth Großeholz;FALSE;FALSE;;
PRA2032;Fundamentals of Organic Chemistry Laboratory;Dr. Hanne Diliën;TRUE;FALSE;CHE2009;
PRA2033;Organic Chemistry Laboratory;Dr. Hanne Diliën;TRUE;TRUE;CHE2011;PRA2032
PRA2034;General Chemistry Laboratory;Dr. Chris Bahn;TRUE;TRUE;CHE2010;PRA1101/PRA1102
PRA3002;Advanced Physics Laboratory;Dr. Chris Pawley;FALSE;TRUE;;PRA1003+PRA2007
PRA3003;Molecular Biology;Dr. Kathia Jimenez;TRUE;TRUE;BIO3001;PRA2014
PRA3005;Polymer Processing;Eveline Maassen;FALSE;TRUE;;CHE2001
PRA3006;Programming in the Life Sciences;Dr. Rianne Fijten and Dr. Egon Willighagen;FALSE;TRUE;;MAT2007/PRA2003
PRA3010;Microbiology;Frank Stassen;TRUE;TRUE;BIO3003;BIO2001+BIO2007
PRA3011;The Limburg Landscape;Dr. Phil Klahs;FALSE;TRUE;;PRA2009
PRA3012;Advanced Electronics;Dr. Bart van Grinsven;FALSE;TRUE;;PRA2006+PHY2006
PRA3014;Spectroscopic Methods;Dr. Annelies van der Bok;FALSE;TRUE;;CHE2004
PRA3017;Applied Cell Biology;Dr. Silvia Bolognin;FALSE;TRUE;;PRA2014
PRA3018;Molecular Modeling;Dr. Veaceslav (Slava) Vieru;TRUE;FALSE;CHE3006;
PRA3021;Topics in Scientific Computing;Dr. Marcin Pietrasik;FALSE;TRUE;;MAT2004+MAT2006+MAT2007
PRA3022;IGEM Competition;Dr. Erik Steen Redeker;FALSE;TRUE;;PRO3022
PRA3023;Plant Physiology and Microbiomes;Dr. Alexander Umanets;FALSE;TRUE;;BIO2003
PRA3024;Analysis of Big Data in Physics;Dr. Jacco de Vries and Dr. Maarten van Veghel;FALSE;TRUE;;MAT2007
PRA3025;Science Communication: Curating Science Exhibits;Dr. May Lee and Dr. Kyle Jazwa;FALSE;TRUE;;PRA2027
PRA3026;Science Teaching Skills;Dr. May Lee;TRUE;TRUE;INT3012;INT2013
PRA3027;Advanced Functional Morphology;Prof. Dr. Leon Claessens and Dr. Jesse Hennekam;FALSE;TRUE;;PRA2025
PRA3028;Inorganic Synthesis;Dr. Giuditta Perversi;TRUE;TRUE;CHE3010;PRA2034
